,equities_list
3814,TRU
3815,EXEL
3816,DMXF
3817,L
3818,FOXA
3819,ITEQ
3820,SEIC
3821,LVGO
3822,NMRD
3823,PTGX
3824,WASH
3825,IFGL
3826,PRFT
3827,HTFA
3828,ET
3829,ALGN
3830,DKS
3831,FYC
3832,AVEO
3833,TMDI
3834,ONTX
3835,BSMO
3836,STAA
3837,MLP
3838,EVOK
3839,ARGX
3840,WTER
3841,NVST
3842,CATO
3843,BMY
3844,TROW
3845,BMRA
3846,NVRO
3847,BHLB
3848,SMHI
3849,COR
3850,MDLY
3851,CNI
3852,CATC
3853,PTON
3854,VNDA
3855,PUYI
3856,HWCPZ
3857,PANA
3858,RXT
3859,G
3860,CR
3861,HEI.A
3862,AMSWA
3863,TDW.WS
3864,SMLP
3865,BCRX
3866,ERII
3867,BFS
3868,ASM
3869,MCB
3870,PCTY
3871,HII
3872,CLWT
3873,NVIV
3874,BATL
3875,JPS
3876,BMY~
3877,MXF
3878,IOSP
3879,JIH.WS
3880,KRNY
3881,CLA.U
3882,UFO
3883,FN
3884,PRMW
3885,WERN
3886,SONN
3887,LIVKW
3888,CHD
3889,AXP
3890,AGBAR
3891,NTB
3892,EVGBC
3893,HTZ
3894,AQNB
3895,CTSO
3896,FLRZ
3897,TEL
3898,RGLS
3899,FDUSZ
3900,IDRA
3901,DXPE
3902,ARDX
3903,HLT
3904,GCP
3905,NXTC
3906,ZS
3907,CCAC
3908,AGEN
3909,OBLG
3910,CRD.B
3911,BGX
3912,GPK
3913,TRQ
3914,TSLX
3915,KTF
3916,PCPL.U
3917,ZIONN
3918,DRUA
3919,LATNU
3920,GLT
3921,VTC
3922,HESM
3923,BCOR
3924,IEI
3925,RDHL
3926,MFO
3927,BSE
3928,MOXC
3929,WGO
3930,CNA
3931,AE
3932,PSACW
3933,FPF
3934,SFTW.U
3935,PACW
3936,HBIO
3937,FMB
3938,BLFS
3939,GOF
3940,ARGO
3941,CDAY
3942,LQDA
3943,ALC
3944,MCHX
3945,ZKIN
3946,UCBI
3947,NXQ
3948,SPSC
3949,INVA
3950,CMCO
3951,CCB
3952,ABTX
3953,AGNC
3954,AVT
3955,GTH
3956,AONE.U
3957,PEAK
3958,CPF
3959,AGX
3960,AUG
3961,GBLK
3962,NKE
3963,FBC
3964,RELV
3965,ORSN
3966,WBA
3967,SHYF
3968,NIO
3969,OBLN
3970,SGC
3971,MNP
3972,COMT
3973,IBTX
3974,WHFBZ
3975,FULT
3976,PSTI
3977,WTRE
3978,BEP
3979,FAX
3980,NTEST.A
3981,CEV
3982,FTF
3983,GOLF
3984,REFR
3985,VIVO
3986,KPTI
3987,GSHD
3988,MYFW
3989,WPRT
3990,ENDP
3991,SGRP
3992,BLRX
3993,NTLA
3994,LVS
3995,FID
3996,GSK
3997,HURC
3998,EGRX
3999,SCYX
4000,FNLC
4001,BZH
4002,IDXG
4003,SIGA
4004,SCCI
4005,TNXP
4006,GGO
4007,BYSI
4008,CSU
4009,NRBO
4010,BLI
4011,LASR
4012,SSPKU
4013,QCOM
4014,SNBR
4015,BOOM
4016,NGVT
4017,LNGR
4018,OPTT
4019,FCAU
4020,APRE
4021,HRI
4022,CVGI
4023,EXG
4024,DAR
4025,RIG
4026,EIM
4027,NXJ
4028,MFD
4029,THR
4030,TLK
4031,QQEW
4032,AEIS
4033,IGLE
4034,LUNA
4035,BSMS
4036,OSMT
4037,QUIK
4038,FCT
4039,NEWA
4040,CALA
4041,AVCO
4042,ZYXI
4043,CNNB
4044,LMRKN
4045,NGS
4046,OSIS
4047,ETV
4048,PPT
4049,OVBC
4050,FEUZ
4051,LCNB
4052,GEVO
4053,PSCE
4054,DXGE
4055,MOR
4056,PSTG
4057,SHY
4058,PTE
4059,MBIN
4060,SBLK
4061,CW
4062,BPMC
4063,CCS
4064,PBA
4065,AAXN
4066,ABEV
4067,EXD
4068,LB
4069,MJCO
4070,VERB
4071,PHIOW
4072,ESSCU
4073,AVA
4074,HCA
4075,CNOB
4076,EQX
4077,TLND
4078,PLL
4079,TGT
4080,OCCI
4081,BSGM
4082,FRC
4083,HIMX
4084,CHNGU
4085,OI
4086,CCM
4087,BRP
4088,FFC
4089,CBO
4090,WCC
4091,GWGH
4092,FRGI
4093,NSPR.WS
4094,NCNA
4095,KHC
4096,RBA
4097,MBINP
4098,OPINI
4099,AEP
4100,SUSC
4101,SPAQ.WS
4102,USCR
4103,PSNL
4104,RZB
4105,KIM
4106,SR
4107,BRC
4108,NUW
4109,XBIT
4110,IPWR
4111,VRCA
4112,RRGB
4113,CFFAU
4114,XOM
4115,UA
4116,TTGT
4117,INBKZ
4118,FVAC.U
4119,MSCI
4120,MRIN
4121,QQQ
4122,UBA
4123,HUBS
4124,LND
4125,SHBI
4126,LUMO
4127,H
4128,CHCT
4129,BGR
4130,HOLUU
4131,DSE
4132,FHK
4133,MNRO
4134,DHIL
4135,OXY.WS
4136,NKG
4137,EXC
4138,GOGL
4139,RNG
4140,FUSE.WS
4141,MTSL
4142,YUM
4143,RILYM
4144,PID
4145,SLMBP
4146,ITAC
4147,RCEL
4148,DEO
4149,RRC
4150,TLGT
4151,CHSCM
4152,TCP
4153,SMTS
4154,NJR
4155,NEU
4156,WAFU
4157,NRG
4158,PBC
4159,WRI
4160,FLNG
4161,OLLI
4162,NTUS
4163,VMACW
4164,CXDC
4165,MGNI
4166,GMLPP
4167,BEN
4168,TWTR
4169,FTK
4170,GORO
4171,BLPH
4172,AACQW
4173,OCC
4174,TWMC
4175,LOGI
4176,IPHI
4177,PSB
4178,RSF
4179,RCA
4180,COG
4181,MGP
4182,SGH
4183,MED
4184,BMO
4185,BWEN
4186,TDE
4187,IMTX
4188,AVGO
4189,FEI
4190,UTZ
4191,UIHC
4192,DIOD
4193,SPN
4194,VGI
4195,QNST
4196,CHNA
4197,CBIO
4198,QRTEB
4199,IRS
4200,BBBY
4201,WSO
4202,PEB
4203,RLAY
4204,APRN
4205,KEX
4206,UONEK
4207,FNB
4208,RBBN
4209,ASG
4210,NEOG
4211,SGU
4212,SCCO
4213,KCAPL
4214,ZGYHW
4215,BCDAW
4216,RDS.B
4217,LPLA
4218,DRIO
4219,ADVM
4220,DUSA
4221,MFAC
4222,MGTA
4223,AKAM
4224,HOLX
4225,GAIA
4226,AES
4227,SSNC
4228,PHIO
4229,TSE
4230,JGH
4231,TRST
4232,CCAP
4233,LBRDK
4234,PTAC
4235,BLMN
4236,CTB
4237,SE
4238,XT
4239,ALACU
4240,LNN
4241,WHLRD
4242,MDRRP
4243,MARPS
4244,FITBO
4245,AIRI
4246,STCN
4247,CPTA
4248,MRTX
4249,OPRT
4250,SPRO
4251,GMRE
4252,RETO
4253,IUS
4254,FRHC
4255,MTLS
4256,VSEC
4257,BNGOW
4258,GJR
4259,AGMH
4260,BJ
4261,BP
4262,RFEM
4263,BBSI
4264,SAFE
4265,PPL
4266,NFLX
4267,ANGL
4268,SSY
4269,SLP
4270,BAF
4271,AVNT
4272,ATHE
4273,UIS
4274,BWL.A
4275,NVT
4276,REI
4277,OLB
4278,BROGW
4279,REGI
4280,LACQ
4281,PKBK
4282,PLAB
4283,SPXX
4284,MAGS
4285,WMT
4286,ZDGE
4287,PDLB
4288,USM
4289,MSM
4290,RF
4291,VVV
4292,SYNL
4293,HPI
4294,FUSB
4295,RL
4296,TPVY
4297,PHR
4298,MDLQ
4299,CSTR
4300,NRGX
4301,CNTY
4302,SEB
4303,FEO
4304,DLY
4305,SP
4306,VKQ
4307,MBUU
4308,CRSAW
4309,UFI
4310,TPCO
4311,LYL
4312,CRWD
4313,JPM
4314,ETM
4315,SAH
4316,LGHLW
4317,PRPB.U
4318,SLGL
4319,FBZ
4320,AQN
4321,LAND
4322,DWAS
4323,ORCL
4324,CRTX
4325,TZACW
4326,SOS
4327,MKGI
4328,PGJ
4329,RPRX
4330,HCCI
4331,GWRE
4332,BFY
4333,AUBAP
4334,CYCCP
4335,NSP
4336,BEKE
4337,FEMS
4338,MMS
4339,EVH
4340,MLR
4341,ACRE
4342,DARE
4343,ORA
4344,FTNT
4345,GTN.A
4346,VWOB
4347,IMACW
4348,RDN
4349,UI
4350,SAIA
4351,KNL
4352,AMD
4353,CAN
4354,NBN
4355,NOV
4356,CRON
4357,UZA
4358,SMFG
4359,SCPH
4360,BATRK
4361,NGHCO
4362,ZSAN
4363,FVRR
4364,NTRP
4365,LAMR
4366,HSAQ
4367,TOTAW
4368,HCAC
4369,TEO
4370,BAP
4371,LL
4372,CTT
4373,PFNX
4374,DECK
4375,DHX
4376,VERBW
4377,SUSL
4378,CMU
4379,ACOR
4380,JPC
4381,AMBO
4382,ELU
4383,FITB
4384,IZEA
4385,HYACU
4386,ERH
4387,PJH
4388,PIC
4389,SIGI
4390,GSIT
4391,LEVL
4392,CSCO
4393,CBMB
4394,PNI
4395,IEUS
4396,VHI
4397,NMCI
4398,MNRL
4399,BGSF
4400,SQLV
4401,THCBU
4402,CTEST.L
4403,TCBIP
4404,CWEN.A
4405,MSEX
4406,CHUY
4407,MLACU
4408,FANH
4409,MHF
4410,KBLM
4411,VRRM
4412,GMED
4413,SRAX
4414,NVDA
4415,WPP
4416,SPCE
4417,OC
4418,W
4419,TBBK
4420,WSM
4421,MOG.B
4422,AIRT
4423,HMG
4424,GLU
4425,CHNG
4426,FRD
4427,NPK
4428,NDSN
4429,ROG
4430,MSTR
4431,IPKW
4432,GUT
4433,CVR
4434,DXR
4435,GALT
4436,TXT
4437,CFFI
4438,MYJ
4439,OKTA
4440,BPYUP
4441,CPTAL
4442,CBNK
4443,GRNQ
4444,MUJ
4445,BRLIW
4446,FBK
4447,THQ
4448,METXW
4449,ADUS
4450,CIICU
4451,UROV
4452,OMP
4453,SPOT
4454,NXTD
4455,FIV
4456,NG
4457,RCP
4458,MXE
4459,INBKL
4460,EQRR
4461,CHS
4462,B
4463,CDEV
4464,EDUT
4465,APXTU
4466,TIF
4467,CEE
4468,JCTCF
4469,JRS
4470,MDNA
4471,AMWD
4472,LDL
4473,TKR
4474,RMT
4475,HKIB
4476,UTL
4477,NHF
4478,CEZ
4479,UBER
4480,ALT
4481,HCHC
4482,ARYBW
4483,LDP
4484,TAST
4485,MATW
4486,ABUS
4487,LIZI
4488,VBLT
4489,SRCE
4490,SNSR
4491,PSL
4492,COO
4493,GEC
4494,CRNT
4495,LILAK
4496,IGIC
4497,KBR
4498,EVF
4499,CMI
4500,MTH
4501,LBC
4502,MCX
4503,PIM
4504,MNCL
4505,PZN
4506,CERN
4507,BSMT
4508,CHEKZ
4509,PRTS
4510,BMLP
4511,JMP
4512,CERC
4513,VNCE
4514,KF
4515,SD
4516,HOFT
4517,BLIN
4518,AFGD
4519,HLI
4520,BWB
4521,VIPS
4522,BDX
4523,CRHM
4524,FENG
4525,ORCC
4526,SII
4527,KTB
4528,IFMK
4529,STOR
4530,UBOH
4531,UHAL
4532,MTCN
4533,SOXX
4534,UNF
4535,CUZ
4536,NVMI
4537,CKX
4538,KIDS
4539,ACGLO
4540,BITA
4541,CHAQ.U
4542,SNCA
4543,PRGS
4544,DPG
4545,CVLY
4546,DMAC
4547,LTHM
4548,ALTY
4549,NNN
4550,SMMCU
4551,NFTY
4552,GD
4553,EBSB
4554,GTE
4555,CBLI
4556,OFLX
4557,AVAV
4558,SMH
4559,RENN
4560,NAOV
4561,AKTS
4562,IHTA
4563,OAC.U
4564,MCA
4565,FBSS
4566,COHR
4567,IRR
4568,BR
4569,CTBI
4570,NRP
4571,HNDL
4572,MIME
4573,PLXP
4574,CCLP
4575,SAP
4576,PCAR
4577,PAGS
4578,TMST
4579,ALTG
4580,SNR
4581,KSS
4582,BA
4583,VMD
4584,NARI
4585,CHGG
4586,FTI
4587,CEPU
4588,RBCAA
4589,PBR.A
4590,NGVC
4591,VCRA
4592,TREB.WS
4593,CCXX
4594,AACG
4595,FFA
4596,ZUO
4597,HSBC
4598,USWS
4599,KEQU
4600,MAC
4601,VOC
4602,ROCK
4603,AMNB
4604,CTXRW
4605,CWH
4606,NMFX
4607,DUKH
4608,AREC
4609,TWLO
4610,BBVA
4611,ZGYH
4612,CEY
4613,ASGI
4614,FBM
4615,BSBR
4616,SYNH
4617,OOMA
4618,OCSL
4619,IMRA
4620,PNFPP
4621,ORRF
4622,SESN
4623,USLM
4624,AMAT
4625,MSD
4626,MNCLU
4627,HIG
4628,UMRX
4629,DHI
4630,GRUB
4631,SHIPW
4632,FFWM
4633,GRNVU
4634,DALI
4635,WIMI
4636,PDCE
4637,DHC
4638,GTN
4639,BWAY
4640,STXS
4641,PMD
4642,THS
4643,AMKR
4644,IIN
4645,LMNR
4646,DY
4647,IBKR
4648,PCGU
4649,AMBA
4650,GIB
4651,MYN
4652,AYX
4653,IMH
4654,CLDB
4655,IGA
4656,ORTX
4657,ADI
4658,UMBF
4659,JAZZ
4660,AVNW
4661,BSCO
4662,CYCC
4663,BNTC
4664,VERX
4665,LW
4666,GRC
4667,TSU
4668,BKK
4669,CIGI
4670,IBTI
4671,BELFA
4672,JSMD
4673,DEI
4674,MLAB
4675,SEE
4676,EPRT
4677,JILL
4678,KTN
4679,RPLA
4680,MGLN
4681,AUTO
4682,IUSB
4683,GNL
4684,PHGE.WS
4685,TFC
4686,PLOW
4687,GSBC
4688,ABB
4689,NBACR
4690,ENJ
4691,FIF
4692,ARCH
4693,MHO
4694,CPE
4695,ESRT
4696,MCC
4697,MTNB
4698,DVY
4699,UN
4700,OSG
4701,TC
4702,SSPK
4703,PSCF
4704,WILC
4705,ECL
4706,VCEL
4707,IPOB.U
4708,MOD
4709,DEX
4710,GCO
4711,TUR
4712,MNK
4713,FAII.U
4714,GPI
4715,ELSE
4716,DFFN
4717,CSV
4718,ECC
4719,LTBR
4720,KMF
4721,CNCE
4722,YUMC
4723,AXO
4724,TREB
4725,DHCNI
4726,TRC
4727,CTG
4728,GME
4729,VBF
4730,BNDW
4731,RNDM
4732,INTC
4733,JSD
4734,UAN
4735,XNCR
4736,ECOLW
4737,CTEST.G
4738,SFBS
4739,URG
4740,EMXC
4741,BKI
4742,DK
4743,ELLO
4744,LEAF
4745,ICLR
4746,EMX
4747,CHAQ.WS
4748,SNCR
4749,CTRM
4750,LX
4751,CNX
4752,HGH
4753,NET
4754,BILL
4755,OCX
4756,GOOD
4757,FRAN
4758,PSET
4759,HYMCW
4760,CHAQ
4761,FVE
4762,CMLFU
4763,LMNX
4764,TXG
4765,GNRS
4766,SPAQ.U
4767,AMAL
4768,TGI
4769,BCSF
4770,FTHI
4771,TRNE.U
4772,VKI
4773,CPSR.U
4774,EYESW
4775,ARR
4776,EDNT
4777,NBL
4778,MOHO
4779,VGM
4780,DSS
4781,GIFI
4782,IIPR
4783,CMCL
4784,RMRM
4785,KROS
4786,ECPG
4787,EQNR
4788,EIG
4789,EVTC
4790,CNQ
4791,VBFC
4792,CHL
4793,IIIN
4794,PEG
4795,SMCP
4796,HEWG
4797,SXI
4798,FTSL
4799,CLGX
4800,BANFP
4801,JOF
4802,EQS
4803,NEW
4804,TPB
4805,AZPN
4806,CNR
4807,WDR
4808,PETZ
4809,SURF
4810,TIG
4811,NTNX
4812,BFRA
4813,LIQT
4814,ORC
4815,KT
4816,FRA
4817,BTAI
4818,CNTG
4819,SYN
4820,SPB
4821,WIRE
4822,AXSM
4823,FRPT
4824,MPX
4825,CLRBZ
4826,RUBY
4827,CRBP
4828,VMI
4829,MD
4830,ATLC
4831,STRA
4832,CREG
4833,EQIX
4834,ONCT
4835,UNMA
4836,QRHC
4837,BFIN
4838,APTS
4839,BFZ
4840,LSACU
4841,ONCY
4842,CTAS
4843,SCI
4844,FTHM
4845,CATB
4846,TRTX
4847,UZC
4848,LYV
4849,NREF
4850,HIFS
4851,NLS
4852,TPTX
4853,LFVN
4854,RTLR
4855,BKEP
4856,ATVI
4857,CRAI
4858,TTMI
4859,XPEV
4860,VRME
4861,KERNW
4862,CLNE
4863,ASX
4864,RIGL
4865,MFIN
4866,ITIC
4867,NXST
4868,GNW
4869,BLDR
4870,MUC
4871,ELOX
4872,SONA
4873,ABCB
4874,PFO
4875,TNP
4876,WCLD
4877,FUNC
4878,SOHO
4879,SIEB
4880,HCDI
4881,MAV
4882,DYAI
4883,VISL
4884,GRIF
4885,IDCC
4886,DFNL
4887,LXFR
4888,NFJ
4889,ARLO
4890,NFINU
4891,MDGS
4892,DFNS.WS
4893,BRY
4894,USNA
4895,LLY
4896,JAN
4897,PEI
4898,FREE
4899,AMPH
4900,IRTC
4901,XONE
4902,BRLI
4903,QRTAV
4904,JOE
4905,UEC
4906,IUSV
4907,NTN
4908,USAS
4909,CFG
4910,FNX
4911,DIN
4912,OPI
4913,MASI
4914,DNN
4915,UNTY
4916,AFT
4917,THM
4918,CLRO
4919,PRTA
4920,CYTK
4921,HLNE
4922,OLN
4923,FSD
4924,LN
4925,CXW
4926,NYMX
4927,NYMTP
4928,CFBI
4929,TORC
4930,NBLX
4931,STC
4932,ABC
4933,TUSK
4934,UAE
4935,AESE
4936,HJLI
4937,BIT
4938,SKYY
4939,URGN
4940,FBHS
4941,KLXE
4942,OSTK
4943,BKEPP
4944,AIO
4945,SPQQ
4946,SHLX
4947,BRO
4948,DLPN
4949,AXAS
4950,SPNS
4951,CWCO
4952,KRYS
4953,CYD
4954,LEVLP
4955,LEGR
4956,SSRM
4957,PGEN
4958,LMST
4959,DTE
4960,CNCR
4961,NEV
4962,PLUG
4963,UNAM
4964,RFI
4965,PFSW
4966,GECC
4967,PAE
4968,NBO
4969,RPTX
4970,MQT
4971,AXS
4972,FATBP
4973,SLNO
4974,EFL
4975,PBCTP
4976,DFIN
4977,ITCB
4978,WINS
4979,BTBT
4980,LDEM
4981,TA
4982,SIMO
4983,STIM
4984,PXLW
4985,BXMT
4986,TAPR
4987,UNH
4988,SPWH
4989,EVY
4990,ALACR
4991,CUE
4992,ASFI
4993,NMT
4994,WHLRP
4995,SBBP
4996,CRF
4997,GBX
4998,AGIO
4999,BLNK
5000,SRL
5001,ACAD
5002,PHD
5003,DMRC
5004,NEWTI
5005,ESPR
5006,AZEK
5007,CETXP
5008,PIO
5009,ALCO
5010,DWPP
5011,XLNX
5012,FLXN
5013,BASI
5014,LLIT
5015,APYX
5016,HAYN
5017,WKEY
5018,SB
5019,TRMT
5020,PEN
5021,FTV
5022,ISDX
5023,MVO
5024,TRS
5025,GOODM
5026,ZG
5027,SHAK
5028,WRE
5029,CTK
5030,LRN
5031,QRTBV
5032,HTLD
5033,AVLR
5034,NXGN
5035,KOP
5036,IGOV
5037,NKLA
5038,LEGH
5039,VSTM
5040,AMK
5041,BQH
5042,PT
5043,TSM
5044,GP
5045,KEN
5046,SYBX
5047,LGL
5048,RIBT
5049,EDN
5050,HBNC
5051,JRJC
5052,SVMK
5053,GAIN
5054,WLDN
5055,GDP
5056,NHS
5057,RRR
5058,NEWTL
5059,DUOT
5060,SMPL
5061,RIV
5062,ENS
5063,ACU
5064,CORT
5065,PSXP
5066,PRIM
5067,ALLY
5068,GFL
5069,BCE
5070,SNDX
5071,WPM
5072,SUP
5073,FOCS
5074,RNWK
5075,HRMY
5076,ELAN
5077,DRH
5078,VGIT
5079,EVSI
5080,CSBR
5081,WRB
5082,SNAP
5083,NHLDW
5084,KBAL
5085,CLXT
5086,BDR
5087,SMMCW
5088,BSCP
5089,WLKP
5090,FLL
5091,ASPN
5092,VMM
5093,GECCL
5094,CSSEN
5095,ACMR
5096,CSB
5097,VCLT
5098,CRS
5099,FNK
5100,JPI
5101,WDC
5102,CLW
5103,BFK
5104,CO
5105,UAMY
5106,ATGE
5107,ALXO
5108,OIA
5109,DGLY
5110,GT
5111,GAU
5112,FTACU
5113,SWZ
5114,VLO
5115,TYL
5116,MNPR
5117,SWK
5118,SNE
5119,MILN
5120,FMCIW
5121,UMPQ
5122,GJP
5123,ADES
5124,AQNA
5125,AJXA
5126,ALRS
5127,SERV
5128,AKO.B
5129,CMTL
5130,UEIC
5131,KDP
5132,IEA
5133,IMV
5134,KN
5135,EQT
5136,CTEST.E
5137,ERF
5138,PRPL
5139,BRBS
5140,SAQNU
5141,PTK.U
5142,TDACW
5143,JNCE
5144,UONE
5145,CHCO
5146,AWR
5147,LMRKP
5148,LPTH
5149,TIPT
5150,GLUU
5151,HT
5152,FPL
5153,VVI
5154,UFCS
5155,ACI
5156,NOMD
5157,WALA
5158,ADNT
5159,DISH
5160,NMRK
5161,BPT
5162,JOBS
5163,DVA
5164,SREV
5165,NGHC
5166,TILE
5167,INOV
5168,ACIU
5169,RNP
5170,SI
5171,IAG
5172,FLMNW
5173,MRCY
5174,OPY
5175,BGT
5176,OKE
5177,KOS
5178,RFDI
5179,KRA
5180,TEAM
5181,ROIC
5182,MVC
5183,NBW
5184,PXI
5185,PDBC
5186,KMB
5187,GRWG
5188,HSY
5189,TACO
5190,ANH
5191,AUVI
5192,DSSI
5193,IAF
5194,HMI
5195,HD
5196,CCXX.WS
5197,IFS
5198,IBTH
5199,GLBZ
5200,LCII
5201,NFE
5202,SJIU
5203,AP
5204,WOR
5205,CNDT
5206,ETON
5207,TRVI
5208,ZNTL
5209,TSI
5210,XTNT
5211,FEAC
5212,BFO
5213,NVTA
5214,NAII
5215,IP
5216,MFH
5217,YVR
5218,PNF
5219,DGICB
5220,AMBC.WS
5221,JKHY
5222,BRX
5223,MSB
5224,ASYS
5225,SOR
5226,LOB
5227,PCOM
5228,VIRT
5229,SID
5230,THG
5231,TY
5232,LILA
5233,ICAD
5234,NIU
5235,CBFV
5236,GNTY
5237,FNHC
5238,GAM
5239,CRSA
5240,EME
5241,CBRL
5242,EMCB
5243,LHCG
5244,SITC
5245,FREEW
5246,CIDM
5247,CMC
5248,CMSC
5249,AOSL
5250,CLX
5251,CG
5252,MCRI
5253,CALB
5254,PRA
5255,ATRA
5256,SNGXW
5257,DYFN
5258,YY
5259,REXR
5260,FPH
5261,RNSC
5262,HARP
5263,VRTU
5264,KXIN
5265,WMG
5266,CHT
5267,BTT
5268,RAPT
5269,MTDR
5270,BXRX
5271,VIGI
5272,AMOV
5273,DMO
5274,MBINO
5275,IEF
5276,MGM
5277,NOVA
5278,CQP
5279,VJET
5280,FSRV
5281,NSCO.WS
5282,ARW
5283,MCFT
5284,SRG
5285,KIN
5286,JNPR
5287,ATCO
5288,AIT
5289,BEPC
5290,NMI
5291,SNV
5292,FDP
5293,ALLK
5294,QRTEA
5295,AVCTW
5296,PNNT
5297,DISCB
5298,GNUS
5299,CHMA
5300,GPJA
5301,NNBR
5302,TCO
5303,BANR
5304,FIT
5305,PECK
5306,PTMN
5307,DPHCW
5308,LE
5309,FCNCA
5310,NBHC
5311,AJX
5312,DSKE
5313,ADXN
5314,GHG
5315,CAPA
5316,JMPNZ
5317,SLQD
5318,DVLU
5319,CFFN
5320,LAWS
5321,WIA
5322,ICL
5323,SCWX
5324,GEN
5325,CTHR
5326,DTEA
5327,NVS
5328,IQ
5329,AFC
5330,BHK
5331,AUMN
5332,IBO
5333,OVV
5334,ZUMZ
5335,IBCP
5336,GOGO
5337,PLT
5338,JWS.WS
5339,HMSY
5340,PCPL.WS
5341,FCRD
5342,NOK
5343,TGTX
5344,CAMT
5345,BSIG
5346,LXP
5347,EROS
5348,BLU
5349,SEAC
5350,HERO
5351,GLPI
5352,SILC
5353,PFBC
5354,SITM
5355,BIF
5356,FTFT
5357,NEWR
5358,KTOV
5359,TARO
5360,CLPT
5361,DCO
5362,NVEE
5363,PBIP
5364,LEE
5365,TZAC
5366,KERN
5367,DXJS
5368,TRMD
5369,PIRS
5370,ORGO
5371,LEO
5372,INSUW
5373,CNBKA
5374,DTJ
5375,FMBI
5376,RMNI
5377,CBSH
5378,NOVSW
5379,FTC
5380,LAUR
5381,KTRA
5382,SPE
5383,CBD
5384,ARQT
5385,PHCF
5386,AXNX
5387,EPR
5388,ARWR
5389,OPNT
5390,EC
5391,GRID
5392,HEXO
5393,FCVT
5394,RILYG
5395,PFIS
5396,TCPC
5397,RTH
5398,HNI
5399,SMAR
5400,PHM
5401,PYS
5402,BBH
5403,MTW
5404,PLG
5405,GNCA
5406,BUSE
5407,NUZE
5408,PFD
5409,MEDS
5410,ICD
5411,GHIVU
5412,UPS
5413,CZR
5414,AMEH
5415,MNTA
5416,GLIBP
5417,BOKF
5418,DINT
5419,COWN
5420,FITBI
5421,HUM
5422,DFPHU
5423,PB
5424,CHN
5425,RETA
5426,HPS
5427,SDPI
5428,HASI
5429,NXMD
5430,MDJH
5431,LOGC
5432,USB
5433,TSQ
5434,CVET
5435,ZTR
5436,SBI
5437,PYZ
5438,BKT
5439,ARD
5440,CMCT
5441,ISIG
5442,BFT.U
5443,LNDC
5444,EXPR
5445,NGL
5446,AJG
5447,MKL
5448,ZGYHU
5449,EWJV
5450,TOT
5451,WYNN
5452,ARI
5453,GBR
5454,GENC
5455,EZT
5456,GSUM
5457,BVXV
5458,CVGW
5459,CSTM
5460,BBAR
5461,ZCMD
5462,NRO
5463,POOL
5464,ALAC
5465,BME
5466,CIL
5467,SCU
5468,TEX
5469,OR
5470,GEF.B
5471,INSU
5472,GYC
5473,ELP
5474,VTR
5475,DLTR
5476,ICCC
5477,ENLV
5478,BRPAW
5479,CLDR
5480,KTCC
5481,IGSB
5482,BRKL
5483,MFG
5484,CHSCO
5485,KEY
5486,WLFC
5487,AME
5488,MLSS
5489,CLH
5490,IHRT
5491,LNT
5492,BHB
5493,QH
5494,SUZ
5495,STXB
5496,VNRX
5497,BFIT
5498,GHC
5499,CPK
5500,AGLE
5501,DSU
5502,MBI
5503,ITRM
5504,APOP
5505,CBTX
5506,NRC
5507,MTSC
5508,SBE.WS
5509,CF
5510,APPS
5511,PCQ
5512,SAFT
5513,THMO
5514,HBT
5515,VGLT
5516,MNOV
5517,VST.WS.A
5518,BBGI
5519,SBNY
5520,WVVI
5521,CTRN
5522,CLAR
5523,BYD
5524,CSLT
5525,CPLG
5526,VIAV
5527,PPX
5528,VONE
5529,AMTD
5530,CATM
5531,CHY
5532,BIPC
5533,GOCO
5534,WAT
5535,IMBI
5536,SPXC
5537,KBNTW
5538,SYRS
5539,GNMA
5540,LCI
5541,DXCM
5542,K
5543,BMRG.U
5544,RQI
5545,DFVL
5546,SUPV
5547,BZM
5548,XFLT
5549,ESGU
5550,PLW
5551,JFKKU
5552,SMMC
5553,VERI
5554,GJT
5555,AIG
5556,JLS
5557,OAS
5558,OMAB
5559,XPL
5560,BV
5561,BHP
5562,EWJE
5563,IPV.U
5564,GMLP
5565,AACQU
5566,DHT
5567,WTREP
5568,VC
5569,CAR
5570,NFH.WS
5571,ACCO
5572,CPST
5573,NXN
5574,INN
5575,PLAY
5576,THBRW
5577,CNNE
5578,CPSH
5579,RCL
5580,BH.A
5581,CEO
5582,AEG
5583,ADBE
5584,RCKY
5585,FDS
5586,BKD
5587,BPRN
5588,SUNW
5589,EBON
5590,HZN
5591,WPF.U
5592,ACLL
5593,VONV
5594,QUMU
5595,IFFT
5596,IEP
5597,PNFP
5598,SPKEP
5599,USOI
5600,MDC
5601,ANIK
5602,MKTX
5603,AMCI
5604,PTN
5605,MOBL
5606,IEAWW
5607,INAQU
5608,NGA.U
5609,FE
5610,ZYNE
5611,ZIOP
5612,PSTV
5613,TPRE
5614,FCEF
5615,ZBH
5616,DDT
5617,SOCL
5618,RAVN
5619,AAU
5620,CUK
5621,FB
5622,FNWB
5623,STAG
5624,MEDP
5625,HPP
5626,IRMD
5627,VGSH
5628,MPB
5629,AGCO
5630,HELE
5631,ANPC
5632,MEG
5633,DOW
5634,SBCF
5635,AAPL
5636,MVCD
5637,IBTG
5638,NPV
5639,AOS
5640,BSCS
5641,ERIE
5642,RADA
5643,PVH
5644,SNY
5645,SIF
5646,SGOC
5647,BLX
5648,MGTX
5649,MPA
