,equities_list
1065,SGA
1066,BBU
1067,ICCH
1068,TRIB
1069,TANNZ
1070,MYE
1071,KNX
1072,AGRO
1073,ASML
1074,NDAQ
1075,GCI
1076,SFET
1077,OHI
1078,JW.B
1079,GOSS
1080,DFNS
1081,CIM
1082,SLGN
1083,PPIH
1084,AROC
1085,GHSI
1086,DWFI
1087,BYM
1088,HIX
1089,SCZ
1090,ROLL
1091,EXPI
1092,AGO
1093,AMPY
1094,FUND
1095,FTXO
1096,RMBS
1097,CLM
1098,NUVA
1099,PKO
1100,RHI
1101,UTG
1102,MANU
1103,EEFT
1104,WEYS
1105,JDD
1106,KCAC.U
1107,BEST
1108,BKH
1109,BKR
1110,LEN.B
1111,YRD
1112,AXR
1113,CFA
1114,GER
1115,ITACU
1116,EDIT
1117,TGB
1118,VG
1119,MFINL
1120,KFFB
1121,AAT
1122,NTEC
1123,LIFE
1124,STM
1125,MBT
1126,HMTV
1127,CSL
1128,MTG
1129,FRBA
1130,FFBC
1131,VOD
1132,IPB
1133,GLOG
1134,PHAS
1135,OPK
1136,HTA
1137,LSTR
1138,SO
1139,ANY
1140,ZVO
1141,VSDA
1142,ASC
1143,SEAS
1144,PSHG
1145,GIGM
1146,MYO
1147,CNP
1148,OFSSI
1149,NYMTN
1150,BCYC
1151,SOLOW
1152,ALTG.WS
1153,ISHG
1154,EDRY
1155,SCPL
1156,CRH
1157,DCUE
1158,SRT
1159,FFG
1160,WD
1161,JOUT
1162,ICHR
1163,OXFD
1164,HLX
1165,LSXMB
1166,GFI
1167,IGT
1168,ACRX
1169,RBCN
1170,OLED
1171,YI
1172,CENTA
1173,PSTL
1174,OLD
1175,CIICW
1176,FRTA
1177,VERO
1178,ISBC
1179,TWN
1180,TTI
1181,CELH
1182,ATOS
1183,TRWH
1184,RS
1185,SOLN
1186,GB.WS
1187,BDXB
1188,CVX
1189,FJP
1190,JTD
1191,APLT
1192,MDIV
1193,HTD
1194,FNV
1195,MCY
1196,NNI
1197,BRPAU
1198,BH
1199,CEL
1200,CWBR
1201,ECCX
1202,TSCBP
1203,ANF
1204,CBL
1205,SENEA
1206,GL
1207,BBF
1208,SSP
1209,STN
1210,PE
1211,NCLH
1212,SENEB
1213,AMHCU
1214,CMCTP
1215,HIL
1216,ZGYHR
1217,ULTA
1218,EVR
1219,ATHX
1220,JRI
1221,DRE
1222,WIW
1223,GLO
1224,MTRX
1225,XYF
1226,OSB
1227,SZC
1228,COST
1229,SRET
1230,AIA
1231,CPAA
1232,SNES
1233,ONVO
1234,ATLO
1235,CZWI
1236,RYTM
1237,CAPR
1238,SBSW
1239,HURN
1240,SJIJ
1241,CWK
1242,JKS
1243,VALE
1244,QLGN
1245,PEY
1246,JFU
1247,SBFG
1248,MOFG
1249,TTEC
1250,KCAC.WS
1251,MRSN
1252,ACAMU
1253,FAB
1254,HBAN
1255,ZEN
1256,NX
1257,PDM
1258,WST
1259,ENLC
1260,CLRG
1261,NTG
1262,BSD
1263,MCAC
1264,EHI
1265,FSTR
1266,GTLS
1267,ALG
1268,AU
1269,MDU
1270,ACAMW
1271,FEP
1272,FLN
1273,SWT
1274,CEQP
1275,ANSS
1276,CAF
1277,MG
1278,HBB
1279,MYGN
1280,RBAC.U
1281,COUP
1282,ARCE
1283,AMP
1284,VRTX
1285,SNLN
1286,AMZN
1287,KBNT
1288,STON
1289,ESGG
1290,HPX.U
1291,CMSA
1292,ETW
1293,WKHS
1294,CCAC.WS
1295,DXF
1296,OYST
1297,RPAI
1298,IRT
1299,LFUS
1300,BOMN
1301,FPRX
1302,ACWX
1303,SRACW
1304,VTHR
1305,ETNB
1306,GVA
1307,VTEC
1308,LPRO
1309,CSTE
1310,ON
1311,JCS
1312,PRU
1313,DDF
